GeomID,Local knowledge event,Remote event,Early import,Geometry import,Late import,Tag import
436,0.0,20.91,0.0,0.0,0.0,0.0
437,0.0,9.33,7.05,0.0,5.97,0.0
438,0.0,43.89,0.0,3.49,3.67,0.0
439,20.18,7.73,0.0,0.0,20.77,0.0
440,0.0,55.66,0.0,0.0,7.24,0.0
441,7.2,0.0,18.82,2.94,26.69,0.0
442,0.0,62.63,0.0,0.0,0.0,0.0
443,0.0,48.22,0.0,0.0,0.0,0.0
444,0.0,41.13,0.0,0.0,0.0,0.0
445,19.04,8.22,6.76,0.0,15.39,2.7
446,0.0,16.01,4.75,0.0,4.17,4.63
447,5.62,0.0,6.35,4.77,17.07,0.0
448,0.0,0.0,38.25,5.53,0.0,7.76
449,0.0,0.0,23.62,0.0,11.03,10.07
450,5.68,0.0,0.0,3.17,4.54,0.0
451,7.04,0.0,31.41,6.79,0.0,0.0
452,0.0,8.67,18.01,5.53,0.0,5.37
453,0.0,10.91,8.57,0.0,6.86,0.0
454,0.0,13.25,29.3,0.0,0.0,0.0
455,0.0,0.0,39.47,0.0,0.0,0.0
456,0.0,14.42,17.69,0.0,0.0,0.0
457,19.92,47.32,0.0,0.0,0.0,0.0
458,0.0,7.69,31.27,0.0,0.0,0.0
459,0.0,0.0,34.42,0.0,0.0,0.0
460,0.0,18.39,3.48,0.0,0.0,0.0
461,0.0,0.0,20.34,0.0,0.0,0.0
462,23.1,0.0,0.0,9.94,0.0,0.0
463,21.82,0.0,0.0,6.96,4.22,0.0
464,0.0,0.0,33.5,0.0,0.0,5.17
465,3.89,0.0,37.48,8.35,0.0,4.82
466,15.93,0.0,29.26,13.13,15.78,0.0
467,0.0,0.0,36.23,0.0,9.98,0.0
468,0.0,0.0,33.96,8.69,0.0,0.0
469,0.0,0.0,28.62,6.12,0.0,0.0
470,0.0,18.5,14.03,4.88,0.0,0.0
471,0.0,0.0,19.53,0.0,5.39,0.0
472,17.83,4.74,18.93,2.9,28.29,3.55
473,0.0,0.0,48.61,0.0,4.7,0.0
474,6.06,0.0,13.11,0.0,36.8,0.0
475,6.18,0.0,37.5,5.71,7.87,4.24
476,0.0,0.0,31.09,0.0,11.39,0.0
477,0.0,0.0,32.29,0.0,9.42,0.0
478,0.0,0.0,24.92,0.0,16.19,0.0
479,0.0,5.81,25.38,0.0,0.0,0.0
480,0.0,0.0,16.07,0.0,25.91,0.0
481,4.52,0.0,11.14,4.14,10.96,5.85
482,0.0,59.42,0.0,0.0,0.0,0.0
483,0.0,0.0,16.29,0.0,7.67,0.0
484,0.0,12.16,16.65,0.0,0.0,0.0
485,0.0,49.02,0.0,0.0,0.0,0.0
486,0.0,0.0,38.72,0.0,0.0,0.0
487,0.0,0.0,20.25,0.0,19.58,0.0
488,0.0,35.8,0.0,0.0,0.0,0.0
489,0.0,8.23,24.15,3.76,4.83,0.0
490,0.0,0.0,23.82,14.06,11.29,0.0
491,0.0,0.0,5.47,8.15,22.48,0.0
492,9.14,0.0,4.14,21.3,4.67,0.0
493,0.0,0.0,34.24,7.21,24.58,4.86
494,0.0,0.0,40.27,0.0,0.0,0.0
495,6.56,0.0,35.64,0.0,20.24,8.01
496,6.44,0.0,36.82,2.75,4.33,11.81
497,18.34,0.0,0.0,21.05,6.98,0.0
498,6.97,0.0,42.14,0.0,0.0,5.61
499,11.45,0.0,28.65,0.0,0.0,5.01
500,32.36,3.57,0.0,0.0,11.53,0.0
501,2.93,18.52,2.44,0.0,28.66,0.0
502,0.0,5.32,62.34,5.5,0.0,0.0
503,7.65,0.0,47.36,6.61,0.0,5.41
504,0.0,4.09,0.0,7.35,19.71,0.0
505,0.0,0.0,9.09,11.58,10.57,0.0
506,40.89,1.34,0.0,1.9,9.82,0.0
507,0.0,0.0,23.75,11.16,31.33,0.0
508,0.0,0.0,11.28,15.96,4.56,0.0
509,4.68,0.0,0.0,25.79,11.26,0.0
510,0.0,0.0,26.63,6.04,4.12,0.0
511,10.07,0.0,0.0,8.16,11.28,0.0
512,14.92,0.0,38.05,3.47,0.0,5.41
513,0.0,0.0,3.41,0.0,16.08,0.0
514,0.0,0.0,48.32,0.0,0.0,0.0
515,2.71,9.68,0.0,3.65,3.53,0.0
516,10.21,7.97,3.95,4.32,3.43,0.0
517,0.0,10.84,19.66,0.0,3.85,0.0
518,0.0,4.18,0.0,3.94,11.2,0.0
519,0.0,0.0,38.73,13.12,7.09,0.0
520,0.0,0.0,0.0,0.0,22.96,0.0
521,0.0,0.0,25.67,7.72,13.91,0.0
522,0.0,0.0,0.0,0.0,25.77,0.0
523,0.0,0.0,4.28,0.0,28.51,0.0
524,0.0,0.0,62.63,0.0,0.0,0.0
525,3.57,15.18,0.0,0.0,30.02,0.0
526,0.69,0.0,8.35,18.28,62.6,0.74
527,0.0,5.17,19.51,0.0,24.26,0.0
528,0.0,0.0,37.62,0.0,39.48,0.0
529,11.2,23.29,0.0,0.0,4.37,0.0
530,0.0,0.0,50.53,0.0,16.56,0.0
531,0.0,0.0,79.46,0.0,0.0,0.0
532,8.48,12.33,11.11,3.61,0.0,0.0
